1000,9,10,1
1010,9,10,1
1020,9,10,1
1030,9,10,1
1040,9,10,1
1048,9,10,1
1049,9,10,1
1050,9,10,1
1060,9,10,1
1070,9,10,1
1080,9,10,1
1089,9,10,1
1090,9,10,1
1100,9,10,1
1109,9,10,1
1110,9,10,1
1120,9,10,1
1125,9,10,1
1130,9,10,1
1139,9,10,1
1140,9,10,1
1150,9,10,1
1160,9,10,1
1170,9,10,1
1180,9,10,1
1184,9,10,1
1200,9,10,1
1210,9,10,1
1219,9,10,1
1220,9,10,1
1230,9,10,1
1239,9,10,1
1240,9,10,1
1250,9,10,1
1259,9,10,1
1260,9,10,1
1269,9,10,1
1270,9,10,1
1275,9,10,1
1276,9,10,1
1278,9,10,1
1279,9,10,1
1280,9,10,1
1285,9,10,1
1289,9,10,1
1290,9,10,1
1296,9,10,1
1298,9,10,1
1299,9,10,1
1310,9,10,1
1320,9,10,1
1330,9,10,1
1340,9,10,1
1376,9,10,1
1377,9,10,1
1379,9,10,1
1389,9,10,1
1400,9,10,1
1407,9,10,1
1408,9,10,1
1410,9,10,1
1419,9,10,1
1420,9,10,1
1430,9,10,1
1450,9,10,1
1460,9,10,1
1470,9,10,1
1480,9,10,1
1490,9,10,1
1500,9,10,1
1509,9,10,1
1510,9,10,1
1520,9,10,1
1530,9,10,1
1537,9,10,1
1538,9,10,1
1539,9,10,1
1540,9,10,1
1548,9,10,1
1549,9,10,1
1550,9,10,1
1560,9,10,1
1566,9,10,1
1567,9,10,1
1569,9,10,1
1588,9,10,1
1590,9,10,1
1600,9,10,1
1610,9,10,1
1618,9,10,1
1619,9,10,1
1620,9,10,1
1630,9,10,1
1640,9,10,1
1645,9,10,1
1650,9,10,1
1700,9,10,1
1708,9,10,1
1710,9,10,1
1720,9,10,1
1729,9,10,1
1730,9,10,1
1740,9,10,1
1750,9,10,1
1759,9,10,1
1760,9,10,1
1770,9,10,1
1780,9,10,1
1789,9,10,1
1790,9,10,1
1800,9,10,1
1807,9,10,1
1810,9,10,1
1820,9,10,1
1830,9,10,1
1840,9,10,1
1849,9,10,1
1857,9,10,1
1859,9,10,1
1860,9,10,1
1863,9,10,1
1870,9,10,1
1900,9,10,1
1904,9,10,1
2000,9,2,1
